,State,Year,Drug/Alcohol Induced,Drug/Alcohol Induced Cause,Deaths,Crude Rate
409,Arkansas,2010,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),54,1.9
410,Arkansas,2010,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),69,2.4
411,Arkansas,2010,Drug-induced causes,All other drug-induced causes,24,0.8
413,Arkansas,2010,Alcohol-induced causes,All other alcohol-induced causes,161,5.5
415,Arkansas,2011,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),260,8.8
416,Arkansas,2011,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),52,1.8
417,Arkansas,2011,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),43,1.5
418,Arkansas,2011,Drug-induced causes,All other drug-induced causes,20,0.7
420,Arkansas,2011,Alcohol-induced causes,All other alcohol-induced causes,162,5.5
422,Arkansas,2012,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),257,8.7
423,Arkansas,2012,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),57,1.9
424,Arkansas,2012,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),59,2.0
425,Arkansas,2012,Drug-induced causes,All other drug-induced causes,25,0.8
426,Arkansas,2012,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",20,0.7
427,Arkansas,2012,Alcohol-induced causes,All other alcohol-induced causes,155,5.3
429,Arkansas,2013,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),216,7.3
430,Arkansas,2013,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),54,1.8
431,Arkansas,2013,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),49,1.7
432,Arkansas,2013,Drug-induced causes,All other drug-induced causes,24,0.8
434,Arkansas,2013,Alcohol-induced causes,All other alcohol-induced causes,170,5.7
436,Arkansas,2014,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),251,8.5
437,Arkansas,2014,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),45,1.5
438,Arkansas,2014,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),59,2.0
439,Arkansas,2014,Drug-induced causes,All other drug-induced causes,21,0.7
440,Arkansas,2014,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",24,0.8
441,Arkansas,2014,Alcohol-induced causes,All other alcohol-induced causes,185,6.2
443,Arkansas,2015,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),274,9.2
444,Arkansas,2015,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),65,2.2
445,Arkansas,2015,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),51,1.7
446,Arkansas,2015,Drug-induced causes,All other drug-induced causes,33,1.1
448,Arkansas,2015,Alcohol-induced causes,All other alcohol-induced causes,224,7.5
450,Arkansas,2016,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),296,9.9
451,Arkansas,2016,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),57,1.9
452,Arkansas,2016,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),46,1.5
453,Arkansas,2016,Drug-induced causes,All other drug-induced causes,22,0.7
454,Arkansas,2016,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",32,1.1
455,Arkansas,2016,Alcohol-induced causes,All other alcohol-induced causes,254,8.5
457,Arkansas,2017,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),330,11.0
458,Arkansas,2017,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),65,2.2
459,Arkansas,2017,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),46,1.5
460,Arkansas,2017,Drug-induced causes,All other drug-induced causes,35,1.2
461,Arkansas,2017,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",30,1.0
462,Arkansas,2017,Alcohol-induced causes,All other alcohol-induced causes,231,7.7
464,California,1999,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),2157,6.4
465,California,1999,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),403,1.2
466,California,1999,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),100,0.3
467,California,1999,Drug-induced causes,All other drug-induced causes,429,1.3
468,California,1999,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",42,0.1
469,California,1999,Alcohol-induced causes,All other alcohol-induced causes,3244,9.7
471,California,2000,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),1519,4.5
472,California,2000,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),343,1.0
473,California,2000,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),74,0.2
474,California,2000,Drug-induced causes,All other drug-induced causes,360,1.1
475,California,2000,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",32,0.1
476,California,2000,Alcohol-induced causes,All other alcohol-induced causes,3374,10.0
478,California,2001,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),976,2.8
479,California,2001,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),203,0.6
480,California,2001,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),45,0.1
481,California,2001,Drug-induced causes,All other drug-induced causes,281,0.8
482,California,2001,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",29,0.1
483,California,2001,Alcohol-induced causes,All other alcohol-induced causes,3370,9.8
485,California,2002,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),2318,6.6
486,California,2002,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),511,1.5
487,California,2002,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),138,0.4
488,California,2002,Drug-induced causes,All other drug-induced causes,443,1.3
489,California,2002,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",56,0.2
490,California,2002,Alcohol-induced causes,All other alcohol-induced causes,3486,10.0
492,California,2003,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),2399,6.8
493,California,2003,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),542,1.5
495,California,2003,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),156,0.4
496,California,2003,Drug-induced causes,All other drug-induced causes,506,1.4
497,California,2003,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",61,0.2
498,California,2003,Alcohol-induced causes,All other alcohol-induced causes,3691,10.5
500,California,2004,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),2424,6.8
501,California,2004,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),532,1.5
502,California,2004,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),164,0.5
503,California,2004,Drug-induced causes,All other drug-induced causes,556,1.6
504,California,2004,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",54,0.2
505,California,2004,Alcohol-induced causes,All other alcohol-induced causes,3649,10.3
507,California,2005,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),2529,7.1
508,California,2005,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),495,1.4
509,California,2005,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),184,0.5
510,California,2005,Drug-induced causes,All other drug-induced causes,607,1.7
511,California,2005,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",55,0.2
512,California,2005,Alcohol-induced causes,All other alcohol-induced causes,3877,10.8
514,California,2006,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),2760,7.7
515,California,2006,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),565,1.6
516,California,2006,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),160,0.4
517,California,2006,Drug-induced causes,All other drug-induced causes,532,1.5
518,California,2006,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",42,0.1
519,California,2006,Alcohol-induced causes,All other alcohol-induced causes,3890,10.8
521,California,2007,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),3059,8.4
522,California,2007,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),629,1.7
523,California,2007,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),160,0.4
524,California,2007,Drug-induced causes,All other drug-induced causes,324,0.9
525,California,2007,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",264,0.7
526,California,2007,Alcohol-induced causes,All other alcohol-induced causes,3763,10.4
528,California,2008,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),3043,8.3
529,California,2008,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),671,1.8
530,California,2008,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),145,0.4
531,California,2008,Drug-induced causes,All other drug-induced causes,284,0.8
532,California,2008,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",282,0.8
533,California,2008,Alcohol-induced causes,All other alcohol-induced causes,3885,10.6
535,California,2009,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),3236,8.8
536,California,2009,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),647,1.8
538,California,2009,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),159,0.4
539,California,2009,Drug-induced causes,All other drug-induced causes,234,0.6
540,California,2009,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",300,0.8
541,California,2009,Alcohol-induced causes,All other alcohol-induced causes,3945,10.7
543,California,2010,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),3182,8.5
544,California,2010,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),694,1.9
545,California,2010,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),173,0.5
546,California,2010,Drug-induced causes,All other drug-induced causes,201,0.5
547,California,2010,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",336,0.9
548,California,2010,Alcohol-induced causes,All other alcohol-induced causes,3956,10.6
550,California,2011,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),3359,8.9
551,California,2011,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),685,1.8
552,California,2011,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),133,0.4
553,California,2011,Drug-induced causes,All other drug-induced causes,249,0.7
554,California,2011,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",302,0.8
555,California,2011,Alcohol-induced causes,All other alcohol-induced causes,4187,11.1
557,California,2012,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),3290,8.6
558,California,2012,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),627,1.6
560,California,2012,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),112,0.3
561,California,2012,Drug-induced causes,All other drug-induced causes,264,0.7
562,California,2012,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",272,0.7
563,California,2012,Alcohol-induced causes,All other alcohol-induced causes,4150,10.9
565,California,2013,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),3647,9.5
566,California,2013,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),678,1.8
567,California,2013,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),126,0.3
568,California,2013,Drug-induced causes,All other drug-induced causes,295,0.8
569,California,2013,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",320,0.8
570,California,2013,Alcohol-induced causes,All other alcohol-induced causes,4240,11.1
572,California,2014,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),3780,9.7
573,California,2014,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),636,1.6
574,California,2014,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),99,0.3
575,California,2014,Drug-induced causes,All other drug-induced causes,295,0.8
576,California,2014,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",307,0.8
577,California,2014,Alcohol-induced causes,All other alcohol-induced causes,4439,11.4
579,California,2015,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),4002,10.2
580,California,2015,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),545,1.4
581,California,2015,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),105,0.3
582,California,2015,Drug-induced causes,All other drug-induced causes,366,0.9
583,California,2015,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",308,0.8
584,California,2015,Alcohol-induced causes,All other alcohol-induced causes,4842,12.4
586,California,2016,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),3985,10.2
587,California,2016,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),551,1.4
588,California,2016,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),113,0.3
589,California,2016,Drug-induced causes,All other drug-induced causes,440,1.1
590,California,2016,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",270,0.7
591,California,2016,Alcohol-induced causes,All other alcohol-induced causes,4785,12.2
593,California,2017,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),4271,10.8
594,California,2017,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),511,1.3
595,California,2017,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),84,0.2
596,California,2017,Drug-induced causes,All other drug-induced causes,434,1.1
597,California,2017,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",294,0.7
598,California,2017,Alcohol-induced causes,All other alcohol-induced causes,4802,12.1
600,Colorado,1999,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),193,4.6
601,Colorado,1999,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),76,1.8
602,Colorado,1999,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),80,1.9
603,Colorado,1999,Drug-induced causes,All other drug-induced causes,26,0.6
605,Colorado,1999,Alcohol-induced causes,All other alcohol-induced causes,449,10.6
607,Colorado,2000,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),220,5.1
608,Colorado,2000,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),59,1.4
609,Colorado,2000,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),71,1.7
610,Colorado,2000,Drug-induced causes,All other drug-induced causes,20,0.5
612,Colorado,2000,Alcohol-induced causes,All other alcohol-induced causes,432,10.0
614,Colorado,2001,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),240,5.4
615,Colorado,2001,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),106,2.4
616,Colorado,2001,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),64,1.4
617,Colorado,2001,Drug-induced causes,All other drug-induced causes,33,0.7
619,Colorado,2001,Alcohol-induced causes,All other alcohol-induced causes,493,11.1
621,Colorado,2002,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),289,6.4
622,Colorado,2002,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),98,2.2
623,Colorado,2002,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),59,1.3
624,Colorado,2002,Drug-induced causes,All other drug-induced causes,26,0.6
626,Colorado,2002,Alcohol-induced causes,All other alcohol-induced causes,497,11.1
628,Colorado,2003,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),322,7.1
629,Colorado,2003,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),107,2.4
630,Colorado,2003,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),73,1.6
631,Colorado,2003,Drug-induced causes,All other drug-induced causes,27,0.6
633,Colorado,2003,Alcohol-induced causes,All other alcohol-induced causes,499,11.0
635,Colorado,2004,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),331,7.2
636,Colorado,2004,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),132,2.9
637,Colorado,2004,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),55,1.2
638,Colorado,2004,Drug-induced causes,All other drug-induced causes,30,0.7
639,Colorado,2004,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",23,0.5
640,Colorado,2004,Alcohol-induced causes,All other alcohol-induced causes,475,10.4
642,Colorado,2005,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),416,9.0
643,Colorado,2005,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),122,2.6
644,Colorado,2005,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),69,1.5
645,Colorado,2005,Drug-induced causes,All other drug-induced causes,32,0.7
647,Colorado,2005,Alcohol-induced causes,All other alcohol-induced causes,481,10.4
649,Colorado,2006,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),436,9.2
650,Colorado,2006,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),100,2.1
651,Colorado,2006,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),90,1.9
652,Colorado,2006,Drug-induced causes,All other drug-induced causes,33,0.7
654,Colorado,2006,Alcohol-induced causes,All other alcohol-induced causes,510,10.8
656,Colorado,2007,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),507,10.6
657,Colorado,2007,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),142,3.0
658,Colorado,2007,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),85,1.8
